customer_id,location_number,location_type,latitude,longitude
02SFNJH,0,NA,1.6823915384615757,-78.7897371818186
02SFNJH,1,NA,1.6791365450962032,0.7668233053886399
02SFNJH,2,NA,-0.4986483973653315,0.6612414365454651
RU43CXC,0,Home,0.10085325202709132,0.43816546553915037
BDFBPRD,0,NA,2.523125243914389,0.7334637242284848
WMGKW6W,0,NA,12.66341321723571,-1.429919200187407
NDYLK9A,0,NA,-0.20327980769232123,-78.56688511363677
NDYLK9A,1,NA,-0.20437114344229615,0.43559274875681514
PB2B28D,0,Home,2.5756051968780787,0.7082701813272576
U9YKW1T,0,Work,0.10001698809616741,0.00435742154998311
GC6WIE3,0,NA,0.875032932008317,0.5365400531075206
K9BE00O,0,NA,-0.8204825849423131,-0.12150308117045742
AY5F3Q6,0,NA,-0.2328497155092143,0.8312066210941839
4YWW8U8,0,NA,-0.20961153846155317,0.2725356818181831
4YWW8U8,1,Home,-0.5755555773730608,0.23655484884177783
393VD80,0,Home,-0.24539596153844773,-78.5619077500004
393VD80,1,NA,-0.24858500001925776,0.8255716590909121
393VD80,2,Home,1.7764091758879548,0.7249986956305003
CYDS6WV,0,NA,0.2949077822307549,0.3734099295999972
HTIXECY,0,Work,0.27175596153845955,-78.62302570454587
HTIXECY,1,NA,0.7288572179808029,0.5216224720386294
J5B49B8,0,Other,-0.5020729209203852,0.10923733530624435
JD179G0,0,Work,-1.2560592005769382,-0.09039963443182633
UX1LKED,0,NA,-1.7443320696267859,-0.34982563352041934
MRF3NLR,0,Home,0.07537115384614937,0.0005681818181845341
FQ6BD1J,0,NA,-0.9431496153846544,-78.47944595454587
FQ6BD1J,1,NA,0.04350696934616008,-0.008501391904548404
8S4TR8P,0,Other,-0.30691038461535686,-78.55463786363677
8S4TR8P,1,NA,-0.3030295619615582,0.6885944994204449
8S4TR8P,2,Other,-0.2572492152307305,0.5351635424340915
8S4TR8P,3,Other,-0.40664933392336045,0.6331922816876427
WEW8WR3,0,Other,-0.9367480769230778,-78.48020250000042
WEW8WR3,1,Home,-0.8967209075053987,0.1460546160286092
QPS70WF,0,NA,-0.19678923076921787,-78.56765218181859
QPS70WF,1,NA,-0.19681497003374956,0.535835211249914
O66VIR7,0,NA,13.61905964812695,-1.4276248446919815
MBO1JU9,0,Other,0.6504173076923268,-78.6677765909095
NUP6MJE,0,Other,-0.8387526923076987,-78.49178377272767
YUET89W,0,Home,-1.094440099595763,0.10125029561194171
R8SXYD0,0,Other,0.12783461538458804,0.5435047727272645
2KH6OSP,0,Work,-0.031379615384626164,-78.5872005909095
2KH6OSP,1,NA,-1.866021153846185,-0.003983181818205289
2KH6OSP,2,NA,-0.03244786588458178,0.6199950927772784
XGE7RDS,0,NA,-0.0595175000000294,-78.58387520454585
XGE7RDS,1,NA,-0.058052191923034215,-0.008462808565907191
XGE7RDS,2,NA,-0.03539711038461736,0.020762422950003842
MWCJAZ1,0,Home,-0.0936483689231509,-0.007678060415921652
P9PGO2N,0,Home,0.046054615384633,-78.59635190909133
P9PGO2N,1,NA,-0.12405615384613397,-78.57624790909134
P9PGO2N,2,NA,-0.8620942307692151,-78.48902522727313
P9PGO2N,3,Other,-0.12109587800000539,-0.005733839875012686
